2025-09-02 00:04:55,743 [daml.index.db.threadpool.connection.indexer-9] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T00:00:00Z)
2025-09-02 01:28:21,534 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 01:28:21,540 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 01:28:21,540 [canton-env-ec-41] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 01:28:21,587 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 01:28:21,594 [canton-env-ec-35] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 01:28:24,104 [canton-env-ec-65] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 01:28:24,104 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 01:28:24,158 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 02:04:55,744 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T02:00:00Z)
2025-09-02 02:04:55,748 [daml.index.db.threadpool.connection.indexer-16] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T02:00:00Z)
2025-09-02 02:27:41,608 [canton-env-ec-35] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T03:27:41.606898Z
2025-09-02 02:27:41,609 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T03:27:41.606894Z
2025-09-02 02:27:44,176 [canton-env-ec-35] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T03:27:44.174566Z
2025-09-02 02:28:01,564 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 02:28:01,565 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 02:28:01,567 [canton-env-ec-155] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 02:28:01,567 [canton-env-ec-35] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 02:28:01,619 [canton-env-ec-155] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 02:28:01,629 [canton-env-ec-160] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 02:28:04,140 [canton-env-ec-155] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 02:28:04,140 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 02:28:04,193 [canton-env-ec-41] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 03:04:55,743 [daml.index.db.threadpool.connection.indexer-4] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T03:00:00Z)
2025-09-02 03:04:55,745 [daml.index.db.threadpool.connection.indexer-4] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T03:00:00Z)
2025-09-02 03:27:21,639 [canton-env-ec-89] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T04:27:21.637559Z
2025-09-02 03:27:21,640 [canton-env-ec-155] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T04:27:21.637708Z
2025-09-02 03:27:24,206 [canton-env-ec-103] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T04:27:24.204896Z
2025-09-02 03:27:41,608 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 03:27:41,609 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 03:27:41,609 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 03:27:41,610 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 03:27:41,661 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 03:27:41,668 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 03:27:44,176 [canton-env-ec-35] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 03:27:44,177 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 03:27:44,230 [canton-env-ec-89] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 04:04:55,744 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T04:00:00Z)
2025-09-02 04:04:55,746 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T04:00:00Z)
2025-09-02 04:27:01,671 [canton-env-ec-155] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T05:27:01.669452Z
2025-09-02 04:27:01,673 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T05:27:01.672Z
2025-09-02 04:27:04,235 [canton-env-ec-155] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T05:27:04.233756Z
2025-09-02 04:27:21,639 [canton-env-ec-155] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 04:27:21,639 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 04:27:21,640 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 04:27:21,640 [canton-env-ec-167] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 04:27:21,692 [canton-env-ec-155] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 04:27:21,697 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 04:27:24,207 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 04:27:24,207 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 04:27:24,260 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 05:04:55,743 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T05:00:00Z)
2025-09-02 05:04:55,745 [daml.index.db.threadpool.connection.indexer-10] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T05:00:00Z)
2025-09-02 05:26:41,691 [canton-env-ec-35] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T06:26:41.689806Z
2025-09-02 05:26:41,691 [canton-env-ec-35] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T06:26:41.690804Z
2025-09-02 05:26:44,263 [canton-env-ec-89] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T06:26:44.261994Z
2025-09-02 05:27:01,671 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 05:27:01,672 [canton-env-ec-61] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 05:27:01,675 [canton-env-ec-61] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 05:27:01,675 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 05:27:01,725 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 05:27:01,731 [canton-env-ec-155] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 05:27:04,236 [canton-env-ec-41] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 05:27:04,236 [canton-env-ec-167] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 05:27:04,289 [canton-env-ec-41] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 06:04:55,743 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T06:00:00Z)
2025-09-02 06:04:55,745 [daml.index.db.threadpool.connection.indexer-7] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T06:00:00Z)
2025-09-02 06:26:21,720 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T07:26:21.719176Z
2025-09-02 06:26:21,725 [canton-env-ec-35] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T07:26:21.723542Z
2025-09-02 06:26:24,283 [canton-env-ec-167] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T07:26:24.282315Z
2025-09-02 06:26:41,691 [canton-env-ec-167] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 06:26:41,691 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 06:26:41,691 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 06:26:41,692 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 06:26:41,743 [canton-env-ec-36] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 06:26:41,747 [canton-env-ec-41] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 06:26:44,271 [canton-env-ec-35] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 06:26:44,272 [canton-env-ec-155] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 06:26:44,329 [canton-env-ec-35] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 07:04:55,743 [daml.index.db.threadpool.connection.indexer-14] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T07:00:00Z)
2025-09-02 07:04:55,745 [daml.index.db.threadpool.connection.indexer-14] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T07:00:00Z)
2025-09-02 07:26:01,759 [canton-env-ec-61] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T08:26:01.757547Z
2025-09-02 07:26:01,759 [canton-env-ec-61] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T08:26:01.757549Z
2025-09-02 07:26:04,300 [canton-env-ec-37] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T08:26:04.299896Z
2025-09-02 07:26:21,722 [canton-env-ec-41] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 07:26:21,722 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 07:26:21,725 [canton-env-ec-37] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 07:26:21,726 [canton-env-ec-36] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 07:26:21,776 [canton-env-ec-65] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 07:26:21,785 [canton-env-ec-37] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 07:26:24,284 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 07:26:24,284 [canton-env-ec-61] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 07:26:24,337 [canton-env-ec-89] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
2025-09-02 08:04:55,741 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T08:00:00Z)
2025-09-02 08:04:55,743 [daml.index.db.threadpool.connection.indexer-12] INFO  c.d.c.p.i.MeteringAggregator:participant=participant1 - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(0000000000000000a8)),2025-09-02T08:00:00Z)
2025-09-02 08:25:41,782 [canton-env-ec-61] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - MED::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T09:25:41.780962Z
2025-09-02 08:25:41,785 [canton-env-ec-155] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - DOM::mydomain::122060f2dea2... authenticated new token with expiry 2025-09-02T09:25:41.784267Z
2025-09-02 08:25:44,318 [canton-env-ec-61] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=mydomain - PAR::participant1::1220b845dcf0... authenticated new token with expiry 2025-09-02T09:25:44.317980Z
2025-09-02 08:26:01,759 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-09-02 08:26:01,760 [canton-env-ec-89] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 08:26:01,760 [canton-env-ec-35] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=mydomain/client=mediator - The sequencer subscription has been terminated by the server.
2025-09-02 08:26:01,760 [canton-env-ec-61] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=mydomain/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 08:26:01,812 [canton-env-ec-160] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - DOM::mydomain::122060f2dea2... subscribes from counter=90
2025-09-02 08:26:01,817 [canton-env-ec-65] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain - MED::mydomain::122060f2dea2... subscribes from counter=596
2025-09-02 08:26:04,301 [canton-env-ec-167] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=participant1/domainId=mydomain::122060f2dea2 - The sequencer subscription has been terminated by the server.
2025-09-02 08:26:04,301 [canton-env-ec-103] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=participant1/domainId=mydomain::122060f2dea2 tid:c1fd759ad05b4f9874fe99f44bb59304 - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-09-02 08:26:04,353 [canton-env-ec-61] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=mydomain tid:c1fd759ad05b4f9874fe99f44bb59304 - PAR::participant1::1220b845dcf0... subscribes from counter=640
